Year,Continent ID,Continent,Country ID,Country,ISO 3,Trade Value
2019,af,Africa,,Other Africa,,1070404267
2019,as,Asia,,Other Asia,,1151004313
2019,eu,Europe,,Other Europe,,588168085
2019,na,North America,,Other North America,,76158673
2019,oc,Oceania,,Other Oceania,,514389193
2019,sa,South America,,Other South America,,61519289
2018,af,Africa,,Other Africa,,1130547937
2018,as,Asia,,Other Asia,,1219662013
2018,eu,Europe,,Other Europe,,796657625
2018,na,North America,,Other North America,,94613546
2018,oc,Oceania,,Other Oceania,,627189934
2018,sa,South America,,Other South America,,89640198
2017,af,Africa,,Other Africa,,1023499471
2017,as,Asia,,Other Asia,,845074658
2017,eu,Europe,,Other Europe,,753945139
2017,na,North America,,Other North America,,125250813
2017,oc,Oceania,,Other Oceania,,674236967
2017,sa,South America,,Other South America,,128919911
2016,af,Africa,,Other Africa,,889829392
2016,as,Asia,,Other Asia,,1481480639
2016,eu,Europe,,Other Europe,,892937860
2016,na,North America,,Other North America,,201093279
2016,oc,Oceania,,Other Oceania,,623901470
2016,sa,South America,,Other South America,,70594984
2015,af,Africa,,Other Africa,,956916658
2015,as,Asia,,Other Asia,,1495811882
2015,eu,Europe,,Other Europe,,839286626
2015,na,North America,,Other North America,,203217977
2015,oc,Oceania,,Other Oceania,,592495759
2015,sa,South America,,Other South America,,34931410
2014,af,Africa,,Other Africa,,1267103470
2014,as,Asia,,Other Asia,,1696027182
2014,eu,Europe,,Other Europe,,806151088
2014,na,North America,,Other North America,,164848210
2014,oc,Oceania,,Other Oceania,,584051463
2014,sa,South America,,Other South America,,39256362
2013,af,Africa,,Other Africa,,1173018644
2013,as,Asia,,Other Asia,,1147843100
2013,eu,Europe,,Other Europe,,688613607
2013,na,North America,,Other North America,,278815692
2013,oc,Oceania,,Other Oceania,,612911249
2013,sa,South America,,Other South America,,30578218
2012,af,Africa,,Other Africa,,1398309801
2012,as,Asia,,Other Asia,,1140544127
2012,eu,Europe,,Other Europe,,728961133
2012,na,North America,,Other North America,,176187464
2012,oc,Oceania,,Other Oceania,,460279542
2012,sa,South America,,Other South America,,21008527
2011,af,Africa,,Other Africa,,1111893928
2011,as,Asia,,Other Asia,,1124212507
2011,eu,Europe,,Other Europe,,631976501
2011,na,North America,,Other North America,,257923085
2011,oc,Oceania,,Other Oceania,,397482044
2011,sa,South America,,Other South America,,21819935
2010,af,Africa,,Other Africa,,813219891
2010,as,Asia,,Other Asia,,859007013
2010,eu,Europe,,Other Europe,,468170246
2010,na,North America,,Other North America,,207593634
2010,oc,Oceania,,Other Oceania,,438505816
2010,sa,South America,,Other South America,,21172726
2009,af,Africa,,Other Africa,,410061690
2009,as,Asia,,Other Asia,,909902621
2009,eu,Europe,,Other Europe,,469465218
2009,na,North America,,Other North America,,235893593
2009,oc,Oceania,,Other Oceania,,421355315
2009,sa,South America,,Other South America,,28486713